MPN,Quantity,Value,Tolerance,Wattage,Voltage,Current,Dielectric Characteristic,Resistance,Impedance,Package (LxW),Description,Manufacturer,Datasheet,DBID
SN65HVD11DR,,SN65HVD11,,,,,,,,SOIC-8,SNx5HVD1x 3.3-V RS-485 Transceivers,Texas Instruments,https://www.ti.com/lit/ds/symlink/sn65hvd11.pdf?ts=1760787756935&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN65HVD11%252Fpart-details%252FSN65HVD11DR,DMT-010001
ATSHA204A-XHCZ-T,,ATSHA204,,,,,,,,TSSOP-8, ATSHA204A Microchip CryptoAuthentication,Microchip,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/ATSHA204A-Data-Sheet-40002025A.pdf,DMT-010002
74HC00PW,,74HC00,,,,,,,,TSSOP-14,Quad 2-input NAND gate,Nexperia,https://assets.nexperia.com/documents/data-sheet/74HC_HCT00.pdf,DMT-010003
74LVC162244ADGG,,74LVC162244,,,,,,,,TSSOP-48,16-bit buffer/line driver; 30 Ohm series termination resistors; 5 V tolerant input/output; 3-state,Nexperia,https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH162244A.pdf,DMT-010004
LM2670SX-5.0/NOPB,,LM2670SX-5.0,,,,,,,,TO263,"LM2670 SIMPLE SWITCHER® Power Converter, High-Efficiency, 3A, Step-Down Voltage Regulator With Sync",Texas Instruments,https://www.ti.com/lit/ds/symlink/lm2670.pdf?ts=1760787948476&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM2670%252Fpart-details%252FLM2670S-5.0%252FNOPB%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dapp-null-null-app_opn_en-cpc-storeic-google-eu_en_pur%2526utm_content%253DDevice%2526ds_k%253DLM2670S-5.0%252FNOPB%2526DCM%253Dyes%2526gad_source%253D1%2526gad_campaignid%253D18945642618%2526gbraid%253D0AAAAAC068F2wbwfwtR81R9BBLuUXEN3qE%2526gclid%253DCj0KCQjw9czHBhCyARIsAFZlN8RuKiUbJLuRumBlQD7Wco_xqkIB2KxMRW92kF4-zhDR28Jr7m9CRnoaAqDYEALw_wcB%2526gclsrc%253Daw.ds,DMT-010005
TJA1100HNZ,,TJA1100,,,,,,,,HVQFN-36,100BASE-T1 PHY for Automotive Ethernet,NXP,https://www.nxp.com/docs/en/data-sheet/TJA1100.pdf,DMT-010006
LM3940IMP-3.3/NOPB,,LM3940IMP-3.3,,,,,,,,SOT-223,LM3940 1-A Low-Dropout Regulator for 5-V to 3.3-V Conversion,Texas Instruments,https://www.ti.com/lit/ds/symlink/lm3940.pdf?ts=1760735051796&ref_url=https%253A%252F%252Fwww.google.com%252F,DMT-010007
74HCT02PW,,74HCT02,,,,,,,,TSSOP-14,Quad 2-input NOR gate,Nexperia,https://assets.nexperia.com/documents/data-sheet/74HC_HCT02.pdf,DMT-010008
MCP9700AT-E/LT,,MCP9700,,,,,,,,SC70-5,Analog Temperature Sensor,Microchip,https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP970X-Family-Data-Sheet-DS20001942.pdf,DMT-010009
TPS61029QDPNRQ1,,TPS61029,,,,,,,,VSON-EP-10,TPS6102x 96% Efficient Synchronous Boost Converters,Texas Instruments,https://www.ti.com/lit/ds/symlink/tps61029-q1.pdf?ts=1760788676614&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS61029-Q1%252Fpart-details%252FTPS61029QDRCRQ1%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dapp-null-null-app_opn_en-cpc-storeic-google-eu_en_pur%2526utm_content%253DDevice%2526ds_k%253DTPS61029QDRCRQ1%2526DCM%253Dyes%2526gad_source%253D1%2526gad_campaignid%253D18945642618%2526gbraid%253D0AAAAAC068F2wbwfwtR81R9BBLuUXEN3qE%2526gclid%253DCj0KCQjw9czHBhCyARIsAFZlN8QINrqWDO0yYABSyPXrZPJ99aU0geWOV31_ZALNdUYK3_aDf80tztwaArgwEALw_wcB%2526gclsrc%253Daw.ds,DMT-010010
NCV6323BMTAATBG,,NCV6323,,,,,,,,WDFN-8,"Buck Converter - Synchronous 3 MHz, 2 A High Efficiency, Low Ripple, Adjustable Output Voltage",Onsemi,https://www.onsemi.com/pdf/datasheet/ncv6323-d.pdf,DMT-010011
74LVC74APW,,74LVC74,,,,,,,,TSSOP-14,Dual D-type flip-flop with set and reset; positive-edge trigger,Nexperia,https://assets.nexperia.com/documents/data-sheet/74LVC74A.pdf,DMT-010012
STB60NF06L,,STB60NF06L,,,,,,,,D2PAK,N-channel 60V - 0.012? - 60A - TO-220/D2PAK/TO-220FP STripFET™ II Power MOSFET,,https://www.st.com/resource/en/datasheet/stp60nf06l.pdf,DMT-010013
LM2937IMP,,LM2937,,,,,,,,SOT-223,LM2937 500-mA Low Dropout Regulator,Texas Instruments,https://www.ti.com/lit/ds/symlink/lm2937.pdf?ts=1760788889317&ref_url=https%253A%252F%252Fwww.google.com%252F,DMT-010014
DS90CF364AMTDX/NOPB,,DS90CF364,,,,,,,,TSSOP-48,+3.3V LVDS Receiver 18-Bit Flat Panel Display (FPD) Link - 65 MHz,Texas Instruments,https://www.ti.com/lit/ds/symlink/ds90cf364a.pdf?ts=1760788933460&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FDS90CF364A%252Fpart-details%252FDS90CF364AMTDX%252FNOPB,DMT-010015
25P80VG,,25P80VG,,,,,,,,SOIC-8,8M-BIT AND 16M-BIT SERIAL FLASH MEMORY,Winbond,https://datasheet4u.com/pdf-down/2/5/P/25P80_Winbond.pdf,DMT-010016
FIN1101K8X,,FIN1101,,,,,,,,US8,LVDS Single Port High Speed Repeater,Onsemi,https://www.onsemi.com/pdf/datasheet/fin1101-d.pdf,DMT-010017
88E1512-A0-NNP2I000,,88E1512,,,,,,,,QFN-56,Integrated 10/100/1000 Mbps Energy Efficient Ethernet Transceiver,Marvell,https://www.marvell.com/content/dam/marvell/en/public-collateral/phys-transceivers/marvell-phys-transceivers-alaska-88e151x-datasheet.pdf,DMT-010018
SN74LVC1G00DBVR,,SN74LVC1G00,,,,,,,,SOT23-5,SN74LVC1G00 Single 2-Input Positive-NAND Gate,Texas Instruments,https://www.ti.com/lit/ds/symlink/sn74lvc1g00.pdf?ts=1760786487349,DMT-010019
